"";"uf";"codUf";"codIbge";"nomeMun"
"383";"BA";"29";"2914208";"IRAJUBA"
"384";"BA";"29";"2914307";"IRAMAIA"
"385";"BA";"29";"2914406";"IRAQUARA"
"386";"BA";"29";"2914505";"IRARA"
"387";"BA";"29";"2914604";"IRECE"
"388";"BA";"29";"2914653";"ITABELA"
"389";"BA";"29";"2914703";"ITABERABA"
"390";"BA";"29";"2914802";"ITABUNA"
"391";"BA";"29";"2914901";"ITACARE"
"392";"BA";"29";"2915007";"ITAETE"
"393";"BA";"29";"2915106";"ITAGI"
"394";"BA";"29";"2915205";"ITAGIBA"
"395";"BA";"29";"2915304";"ITAGIMIRIM"
"396";"BA";"29";"2915353";"ITAGUACU DA BAHIA"
"397";"BA";"29";"2915403";"ITAJU DO COLONIA"
"398";"BA";"29";"2915502";"ITAJUIPE"
"399";"BA";"29";"2915601";"ITAMARAJU"
"400";"BA";"29";"2915700";"ITAMARI"
"401";"BA";"29";"2915809";"ITAMBE"
"402";"BA";"29";"2915908";"ITANAGRA"
"403";"BA";"29";"2916005";"ITANHEM"
"404";"BA";"29";"2916104";"ITAPARICA"
"405";"BA";"29";"2916203";"ITAPE"
"406";"BA";"29";"2916302";"ITAPEBI"
"407";"BA";"29";"2916401";"ITAPETINGA"
"408";"BA";"29";"2916500";"ITAPICURU"
"409";"BA";"29";"2916609";"ITAPITANGA"
"410";"BA";"29";"2916708";"ITAQUARA"
"411";"BA";"29";"2916807";"ITARANTIM"
"412";"BA";"29";"2916856";"ITATIM"
"413";"BA";"29";"2916906";"ITIRUCU"
"414";"BA";"29";"2917003";"ITIUBA"
"415";"BA";"29";"2917102";"ITORORO"
"416";"BA";"29";"2917201";"ITUACU"
"417";"BA";"29";"2917300";"ITUBERA"
"418";"BA";"29";"2917334";"IUIU"
"419";"BA";"29";"2917359";"JABORANDI"
"420";"BA";"29";"2917409";"JACARACI"
"421";"BA";"29";"2917508";"JACOBINA"
"422";"BA";"29";"2917607";"JAGUAQUARA"
"423";"BA";"29";"2917706";"JAGUARARI"
"424";"BA";"29";"2917805";"JAGUARIPE"
"425";"BA";"29";"2917904";"JANDAIRA"
"426";"BA";"29";"2918001";"JEQUIE"
"427";"BA";"29";"2918100";"JEREMOABO"
"428";"BA";"29";"2918209";"JIQUIRICA"
"429";"BA";"29";"2918308";"JITAUNA"
"430";"BA";"29";"2918357";"JOAO DOURADO"
"431";"BA";"29";"2918407";"JUAZEIRO"
"432";"BA";"29";"2918456";"JUCURUCU"
"433";"BA";"29";"2918506";"JUSSARA"
"434";"BA";"29";"2918555";"JUSSARI"
"435";"BA";"29";"2918605";"JUSSIAPE"
"436";"BA";"29";"2918704";"LAFAIETE COUTINHO"
"437";"BA";"29";"2918753";"LAGOA REAL"
"438";"BA";"29";"2918803";"LAJE"
"439";"BA";"29";"2918902";"LAJEDAO"
"440";"BA";"29";"2919009";"LAJEDINHO"
"441";"BA";"29";"2919058";"LAJEDO DO TABOCAL"
"442";"BA";"29";"2919108";"LAMARAO"
"443";"BA";"29";"2919157";"LAPAO"
"444";"BA";"29";"2919207";"LAURO DE FREITAS"
"445";"BA";"29";"2919306";"LENCOIS"
"446";"BA";"29";"2919405";"LICINIO DE ALMEIDA"
"447";"BA";"29";"2919504";"LIVRAMENTO DE NOSSA SENHORA"
"448";"BA";"29";"2904605";"LIVRAMENTO DO BRUMADO"
"449";"BA";"29";"2919553";"LUIS EDUARDO MAGALHAES"
"450";"BA";"29";"2919603";"MACAJUBA"
"451";"BA";"29";"2919702";"MACARANI"
"452";"BA";"29";"2919801";"MACAUBAS"
"453";"BA";"29";"2919900";"MACURURE"
"454";"BA";"29";"2919926";"MADRE DE DEUS"
"455";"BA";"29";"2919959";"MAETINGA"
"456";"BA";"29";"2920007";"MAIQUINIQUE"
"457";"BA";"29";"2920106";"MAIRI"
"458";"BA";"29";"2920205";"MALHADA"
"459";"BA";"29";"2920304";"MALHADA DE PEDRAS"
"460";"BA";"29";"2920403";"MANOEL VITORINO"
"461";"BA";"29";"2920452";"MANSIDAO"
"462";"BA";"29";"2920502";"MARACAS"
"463";"BA";"29";"2920601";"MARAGOGIPE"
"464";"BA";"29";"2920700";"MARAU"
"465";"BA";"29";"2920809";"MARCIONILIO SOUZA"
"466";"BA";"29";"2920908";"MASCOTE"
"467";"BA";"29";"2921005";"MATA DE SAO JOAO"
"468";"BA";"29";"2921054";"MATINA"
"469";"BA";"29";"2921104";"MEDEIROS NETO"
"470";"BA";"29";"2921203";"MIGUEL CALMON"
"471";"BA";"29";"2921302";"MILAGRES"
"472";"BA";"29";"2921401";"MIRANGABA"
"473";"BA";"29";"2921450";"MIRANTE"
"474";"BA";"29";"2921500";"MONTE SANTO"
"475";"BA";"29";"2921609";"MORPARA"
"476";"BA";"29";"2921708";"MORRO DO CHAPEU"
"477";"BA";"29";"2921807";"MORTUGABA"
"478";"BA";"29";"2921906";"MUCUGE"
"479";"BA";"29";"2922003";"MUCURI"
"480";"BA";"29";"2922052";"MULUNGU DO MORRO"
"481";"BA";"29";"2922102";"MUNDO NOVO"
"482";"BA";"29";"2922201";"MUNIZ FERREIRA"
"483";"BA";"29";"2922250";"MUQUEM DE SAO FRANCISCO"
"484";"BA";"29";"2922300";"MURITIBA"
"485";"BA";"29";"2922409";"MUTUIPE"
"486";"BA";"29";"2922508";"NAZARE"
"487";"BA";"29";"2922607";"NILO PECANHA"
"488";"BA";"29";"2922656";"NORDESTINA"
"489";"BA";"29";"2922706";"NOVA CANAA"
"490";"BA";"29";"2922730";"NOVA FATIMA"
"491";"BA";"29";"2922755";"NOVA IBIA"
"492";"BA";"29";"2922805";"NOVA ITARANA"
"493";"BA";"29";"2922854";"NOVA REDENCAO"
"494";"BA";"29";"2922904";"NOVA SOURE"
"495";"BA";"29";"2923001";"NOVA VICOSA"
"496";"BA";"29";"2923035";"NOVO HORIZONTE"
"497";"BA";"29";"2923050";"NOVO TRIUNFO"
"498";"BA";"29";"2923100";"OLINDINA"
"499";"BA";"29";"2923209";"OLIVEIRA DOS BREJINHOS"
"500";"BA";"29";"2923308";"OURICANGAS"
"501";"BA";"29";"2923357";"OUROLANDIA"
"502";"BA";"29";"2923407";"PALMAS DE MONTE ALTO"
"503";"BA";"29";"2923506";"PALMEIRAS"
"504";"BA";"29";"2923605";"PARAMIRIM"
"505";"BA";"29";"2923704";"PARATINGA"
"506";"BA";"29";"2923803";"PARIPIRANGA"
"507";"BA";"29";"2923902";"PAU BRASIL"
"508";"BA";"29";"2924009";"PAULO AFONSO"
"509";"BA";"29";"2924058";"PE DE SERRA"
"510";"BA";"29";"2924108";"PEDRAO"
"511";"BA";"29";"2924207";"PEDRO ALEXANDRE"
"512";"BA";"29";"2924306";"PIATA"
"513";"BA";"29";"2924405";"PILAO ARCADO"
"514";"BA";"29";"2924504";"PINDAI"
"515";"BA";"29";"2924603";"PINDOBACU"
"516";"BA";"29";"2924652";"PINTADAS"
"517";"BA";"29";"2924678";"PIRAI DO NORTE"
"518";"BA";"29";"2924702";"PIRIPA"
"519";"BA";"29";"2924801";"PIRITIBA"
"520";"BA";"29";"2924900";"PLANALTINO"
"521";"BA";"29";"2925006";"PLANALTO"
"522";"BA";"29";"2925105";"POCOES"
"523";"BA";"29";"2925204";"POJUCA"
"524";"BA";"29";"2925253";"PONTO NOVO"
